"Country.Name","Country.Code","tour_arr_2017","tour_arr_2018","sum_2017","sum_2018","cn_arr_2017","cn_arr_2018","201801","201802","sum","hot_travel","gdp_2017","gdp_2018","dense_2017","dense_2018","export","import","20200122","20200123","20200124","20200126","20200202","20200205","20200206","20200207","20200210","20200217","20200219","20200221","20200304","20200307","20200318","20200324","imported_sum","volume","risk"
"Guyana","GUY",247000,287000,NA,NA,1443,1300,NA,NA,NA,NA,4586.05457171312,4979.00218839886,3.93813055626111,3.95734823469647,176787549.03,51186537.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,27,0.000199779665226995
"High income","HIC",834362761.73158,866650998.157859,NA,NA,NA,NA,NA,NA,NA,NA,42375.5925332358,44786.5796621349,34.2698639692726,34.4377658355898,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hong Kong SAR, China","HKG",27884000,29263000,44445259,51038230,79795890,79368424,141777,134805,276582,0,46225.7818690007,48675.6164599767,7039.71428571429,7096.19047619048,251428354811.45,16853950725.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001725,7.41201056109303
"Honduras","HND",851000,851000,NA,NA,6184,5580,8,3,11,0,2449.96469108151,2500.11321286023,84.2703816248101,85.6870319063366,1246582250.08,43216378.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,0,207,0.00153164410007363
"Heavily indebted poor countries (HIPC)","HPC",24097516.6259645,24097516.6259645,NA,NA,NA,NA,NA,NA,NA,NA,994.881641557677,934.613745816671,43.6800362578349,44.8957816454125,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croatia","HRV",15593000,16645000,159301,233630,23184,22267,13,60,73,1,13412.3419505426,14909.6931860854,73.7049857040743,73.0771979985704,692108772.78,91825133.68,0,0,0,0,0,0,0,0,0,0,0,0,10,12,81,382,0,2244,0.0166039099544214
"Haiti","HTI",467000,447000,NA,NA,646,578,6,8,14,0,765.727294324274,868.34202469407,398.489332365747,403.59854862119,531345379,7442907.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,60,0.000443954811615545
"Hungary","HUN",15785000,17552000,227225,261298,22495,23619,104,197,301,1,14457.608763614,16161.9805101918,108.118480061858,107.906605545123,5788589206.93,3222025289.07,0,0,0,0,0,0,0,0,0,0,0,0,2,4,58,187,0,12836,0.0949767326982856
"IBRD only","IBD",492359594.104451,531740974.719403,NA,NA,NA,NA,NA,NA,NA,NA,6055.69450939356,6385.46162560212,68.192583963153,68.7859051970979,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IDA & IBRD total","IBT",561797590.954269,610304931.035529,NA,NA,NA,NA,NA,NA,NA,NA,4863.83023150558,5098.525112462,67.870329440419,68.7084518843392,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
